city_slug,immo_source_slug,lots_served_status,lots_served_reason,lots_served_observed_lots,surface_m2_status,surface_m2_reason,surface_m2_observed_lots,surface_m2_completed_lots,postal_code_status,postal_code_reason,postal_code_observed_lots,postal_code_completed_lots,civic_address_status,civic_address_reason,civic_address_observed_lots,civic_address_completed_lots,tod_applicability_status,tod_applicability_reason,tod_completion_status,tod_completion_reason,tod_completion_observed_lots,tod_completion_joined_lots,tod_completion_in_tod_lots
beaconsfield,beaconsfield,complete,Canonical local Immo perMuni stats row is present and reports 7111 served lots.,7111,complete,Local Immo stats report 7111/7111 lots with surface_m2.,7111,7111,complete,Local Immo stats report 7111/7111 lots with code_postal.,7111,7111,incomplete,Local Immo stats report 6570/7111 lots with civic address.,7111,6570,complete,The local coverage matrix declares TOD scope with status done.,incomplete,Local Immo stats report the TOD join is absent: 0/7111 lots joined (0 lots in TOD).,7111,0,0
bearn,bearn,complete,Canonical local Immo perMuni stats row is present and reports 44 served lots.,44,complete,Local Immo stats report 44/44 lots with surface_m2.,44,44,complete,Local Immo stats report 44/44 lots with code_postal.,44,44,complete,Local Immo stats report 44/44 lots with civic address.,44,44,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
beauceville,beauceville,complete,Canonical local Immo perMuni stats row is present and reports 5045 served lots.,5045,complete,Local Immo stats report 5045/5045 lots with surface_m2.,5045,5045,complete,Local Immo stats report 5045/5045 lots with code_postal.,5045,5045,incomplete,Local Immo stats report 4462/5045 lots with civic address.,5045,4462,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
beauharnois,beauharnois,complete,Canonical local Immo perMuni stats row is present and reports 6003 served lots.,6003,complete,Local Immo stats report 6003/6003 lots with surface_m2.,6003,6003,complete,Local Immo stats report 6003/6003 lots with code_postal.,6003,6003,incomplete,Local Immo stats report 5769/6003 lots with civic address.,6003,5769,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
beaulac-garthby,beaulac-garthby,complete,Canonical local Immo perMuni stats row is present and reports 2084 served lots.,2084,complete,Local Immo stats report 2084/2084 lots with surface_m2.,2084,2084,complete,Local Immo stats report 2084/2084 lots with code_postal.,2084,2084,incomplete,Local Immo stats report 2061/2084 lots with civic address.,2084,2061,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
beaumont,beaumont,complete,Canonical local Immo perMuni stats row is present and reports 2215 served lots.,2215,complete,Local Immo stats report 2215/2215 lots with surface_m2.,2215,2215,complete,Local Immo stats report 2215/2215 lots with code_postal.,2215,2215,incomplete,Local Immo stats report 2055/2215 lots with civic address.,2215,2055,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
beaupre,beaupre,complete,Canonical local Immo perMuni stats row is present and reports 2933 served lots.,2933,complete,Local Immo stats report 2933/2933 lots with surface_m2.,2933,2933,complete,Local Immo stats report 2933/2933 lots with code_postal.,2933,2933,incomplete,Local Immo stats report 2873/2933 lots with civic address.,2933,2873,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
becancour,becancour,complete,Canonical local Immo perMuni stats row is present and reports 2681 served lots.,2681,complete,Local Immo stats report 2681/2681 lots with surface_m2.,2681,2681,complete,Local Immo stats report 2681/2681 lots with code_postal.,2681,2681,incomplete,Local Immo stats report 2654/2681 lots with civic address.,2681,2654,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bedford--brome-missisquoi,bedford--brome-missisquoi,complete,Canonical local Immo perMuni stats row is present and reports 636 served lots.,636,complete,Local Immo stats report 636/636 lots with surface_m2.,636,636,complete,Local Immo stats report 636/636 lots with code_postal.,636,636,incomplete,Local Immo stats report 622/636 lots with civic address.,636,622,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bedford--brome-missisquoi--2,bedford--brome-missisquoi--2,complete,Canonical local Immo perMuni stats row is present and reports 644 served lots.,644,complete,Local Immo stats report 644/644 lots with surface_m2.,644,644,complete,Local Immo stats report 644/644 lots with code_postal.,644,644,incomplete,Local Immo stats report 630/644 lots with civic address.,644,630,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
begin,begin,complete,Canonical local Immo perMuni stats row is present and reports 659 served lots.,659,complete,Local Immo stats report 659/659 lots with surface_m2.,659,659,complete,Local Immo stats report 659/659 lots with code_postal.,659,659,incomplete,Local Immo stats report 604/659 lots with civic address.,659,604,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
belcourt,belcourt,complete,Canonical local Immo perMuni stats row is present and reports 169 served lots.,169,complete,Local Immo stats report 169/169 lots with surface_m2.,169,169,complete,Local Immo stats report 169/169 lots with code_postal.,169,169,complete,Local Immo stats report 169/169 lots with civic address.,169,169,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
belleterre,belleterre,complete,Canonical local Immo perMuni stats row is present and reports 295 served lots.,295,complete,Local Immo stats report 295/295 lots with surface_m2.,295,295,complete,Local Immo stats report 295/295 lots with code_postal.,295,295,complete,Local Immo stats report 295/295 lots with civic address.,295,295,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
beloeil,,incomplete,No canonical local Immo perMuni stats row is present in the served-lots snapshot.,,unknown,No canonical local Immo perMuni stats row exists; surface_m2 cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; code_postal cannot be measured.,,,unknown,No canonical local Immo perMuni stats row exists; civic address cannot be measured.,,,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
berry,berry,complete,Canonical local Immo perMuni stats row is present and reports 194 served lots.,194,complete,Local Immo stats report 194/194 lots with surface_m2.,194,194,complete,Local Immo stats report 194/194 lots with code_postal.,194,194,incomplete,Local Immo stats report 162/194 lots with civic address.,194,162,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
berthier-sur-mer,berthier-sur-mer,complete,Canonical local Immo perMuni stats row is present and reports 1469 served lots.,1469,complete,Local Immo stats report 1469/1469 lots with surface_m2.,1469,1469,complete,Local Immo stats report 1469/1469 lots with code_postal.,1469,1469,incomplete,Local Immo stats report 1317/1469 lots with civic address.,1469,1317,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
berthierville,berthierville,complete,Canonical local Immo perMuni stats row is present and reports 1987 served lots.,1987,complete,Local Immo stats report 1987/1987 lots with surface_m2.,1987,1987,complete,Local Immo stats report 1987/1987 lots with code_postal.,1987,1987,incomplete,Local Immo stats report 1962/1987 lots with civic address.,1987,1962,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bethanie,bethanie,complete,Canonical local Immo perMuni stats row is present and reports 333 served lots.,333,complete,Local Immo stats report 333/333 lots with surface_m2.,333,333,complete,Local Immo stats report 333/333 lots with code_postal.,333,333,incomplete,Local Immo stats report 331/333 lots with civic address.,333,331,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
biencourt,biencourt,complete,Canonical local Immo perMuni stats row is present and reports 613 served lots.,613,complete,Local Immo stats report 613/613 lots with surface_m2.,613,613,complete,Local Immo stats report 613/613 lots with code_postal.,613,613,incomplete,Local Immo stats report 556/613 lots with civic address.,613,556,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
blainville,blainville,complete,Canonical local Immo perMuni stats row is present and reports 20962 served lots.,20962,complete,Local Immo stats report 20962/20962 lots with surface_m2.,20962,20962,complete,Local Immo stats report 20962/20962 lots with code_postal.,20962,20962,incomplete,Local Immo stats report 20600/20962 lots with civic address.,20962,20600,complete,The local coverage matrix declares TOD scope with status done.,incomplete,Local Immo stats report the TOD join is absent: 0/20962 lots joined (0 lots in TOD).,20962,0,0
blanc-sablon,blanc-sablon,complete,Canonical local Immo perMuni stats row is present and reports 169 served lots.,169,complete,Local Immo stats report 169/169 lots with surface_m2.,169,169,complete,Local Immo stats report 169/169 lots with code_postal.,169,169,incomplete,Local Immo stats report 168/169 lots with civic address.,169,168,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
blue-sea,blue-sea,complete,Canonical local Immo perMuni stats row is present and reports 2316 served lots.,2316,complete,Local Immo stats report 2316/2316 lots with surface_m2.,2316,2316,complete,Local Immo stats report 2316/2316 lots with code_postal.,2316,2316,incomplete,Local Immo stats report 2002/2316 lots with civic address.,2316,2002,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
boileau,boileau,complete,Canonical local Immo perMuni stats row is present and reports 1251 served lots.,1251,complete,Local Immo stats report 1251/1251 lots with surface_m2.,1251,1251,complete,Local Immo stats report 1251/1251 lots with code_postal.,1251,1251,incomplete,Local Immo stats report 1097/1251 lots with civic address.,1251,1097,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bois-des-filion,bois-des-filion,complete,Canonical local Immo perMuni stats row is present and reports 3611 served lots.,3611,complete,Local Immo stats report 3611/3611 lots with surface_m2.,3611,3611,complete,Local Immo stats report 3611/3611 lots with code_postal.,3611,3611,incomplete,Local Immo stats report 3494/3611 lots with civic address.,3611,3494,complete,The local coverage matrix declares TOD scope with status done.,incomplete,Local Immo stats report the TOD join is absent: 0/3611 lots joined (0 lots in TOD).,3611,0,0
bois-franc,bois-franc,complete,Canonical local Immo perMuni stats row is present and reports 571 served lots.,571,complete,Local Immo stats report 571/571 lots with surface_m2.,571,571,complete,Local Immo stats report 571/571 lots with code_postal.,571,571,incomplete,Local Immo stats report 502/571 lots with civic address.,571,502,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
boisbriand,boisbriand,complete,Canonical local Immo perMuni stats row is present and reports 9969 served lots.,9969,complete,Local Immo stats report 9969/9969 lots with surface_m2.,9969,9969,complete,Local Immo stats report 9969/9969 lots with code_postal.,9969,9969,incomplete,Local Immo stats report 9770/9969 lots with civic address.,9969,9770,complete,The local coverage matrix declares TOD scope with status done.,incomplete,Local Immo stats report the TOD join is absent: 0/9969 lots joined (0 lots in TOD).,9969,0,0
boischatel,boischatel,complete,Canonical local Immo perMuni stats row is present and reports 4077 served lots.,4077,complete,Local Immo stats report 4077/4077 lots with surface_m2.,4077,4077,complete,Local Immo stats report 4077/4077 lots with code_postal.,4077,4077,incomplete,Local Immo stats report 3751/4077 lots with civic address.,4077,3751,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bolton-est,bolton-est,complete,Canonical local Immo perMuni stats row is present and reports 2105 served lots.,2105,complete,Local Immo stats report 2105/2105 lots with surface_m2.,2105,2105,complete,Local Immo stats report 2105/2105 lots with code_postal.,2105,2105,incomplete,Local Immo stats report 1886/2105 lots with civic address.,2105,1886,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bolton-ouest,bolton-ouest,complete,Canonical local Immo perMuni stats row is present and reports 1041 served lots.,1041,complete,Local Immo stats report 1041/1041 lots with surface_m2.,1041,1041,complete,Local Immo stats report 1041/1041 lots with code_postal.,1041,1041,incomplete,Local Immo stats report 1028/1041 lots with civic address.,1041,1028,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bonaventure,bonaventure,complete,Canonical local Immo perMuni stats row is present and reports 2932 served lots.,2932,complete,Local Immo stats report 2932/2932 lots with surface_m2.,2932,2932,complete,Local Immo stats report 2932/2932 lots with code_postal.,2932,2932,incomplete,Local Immo stats report 2903/2932 lots with civic address.,2932,2903,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bonne-esperance,bonne-esperance,complete,Canonical local Immo perMuni stats row is present and reports 525 served lots.,525,complete,Local Immo stats report 525/525 lots with surface_m2.,525,525,complete,Local Immo stats report 525/525 lots with code_postal.,525,525,incomplete,Local Immo stats report 520/525 lots with civic address.,525,520,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
bonsecours,bonsecours,complete,Canonical local Immo perMuni stats row is present and reports 832 served lots.,832,complete,Local Immo stats report 832/832 lots with surface_m2.,832,832,complete,Local Immo stats report 832/832 lots with code_postal.,832,832,incomplete,Local Immo stats report 748/832 lots with civic address.,832,748,N/A,The local coverage matrix has no TOD scope entry for this city.,N/A,TOD is not applicable according to the local coverage matrix.,,,
boucherville,boucherville,complete,Canonical local Immo perMuni stats row is present and reports 16269 served lots.,16269,complete,Local Immo stats report 16269/16269 lots with surface_m2.,16269,16269,complete,Local Immo stats report 16269/16269 lots with code_postal.,16269,16269,incomplete,Local Immo stats report 14970/16269 lots with civic address.,16269,14970,complete,The local coverage matrix declares TOD scope with status done.,incomplete,Local Immo stats report the TOD join is absent: 0/16269 lots joined (0 lots in TOD).,16269,0,0
